model,variable,value,barr_type,option_type,n_samples,eta,closed,fdm,reference,mc_mean,mc_std,mc_rel_error_pct,cvae_mean,cvae_std,cvae_rel_error_pct,mc_seconds_mean,cvae_seconds_mean,used_sample_count_mean,discarded_sample_count_mean,discarded_sample_pct_mean,regenerated_sample_count_mean,regenerated_sample_pct_mean,mt_corrected_sample_count_mean,mt_corrected_sample_pct_mean,error
hes,r,0.0025,van,call,1000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.10169903052401999,0.10169903052401999,0.10150397212194914,0.005287910276227143,0.19179966718048166,0.10231914243193968,0.004930796012454456,0.6097520347288148,0.791322194460663,0.003435820642625913,1000.0,,,0.0,0.0,19.88,1.9879999999999998,
hes,r,0.0025,van,call,10000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.10169903052401999,0.10169903052401999,0.10126456177636277,0.0014359099065276554,0.42721031402025544,0.1015671006868103,0.0013678174917467587,0.12972575700073483,0.7804822060780134,0.008899081761483104,10000.0,,,0.0,0.0,196.94,1.9694000000000003,
hes,r,0.0025,van,call,100000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.10169903052401999,0.10169903052401999,0.10153501481173648,0.000422119397691802,0.161275590768562,0.1014847386310603,0.00046247148362708933,0.21071183457257323,0.8412596756609855,0.05884812447591685,100000.0,,,0.0,0.0,1978.1,1.9781,
hes,r,0.0025,van,put,1000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.09795605299435405,0.09795605299435405,0.0969655948105852,0.004430012553114352,1.0111250438254538,0.09841160720011914,0.005303893649418168,0.46505978123817765,0.791322194460663,0.003435820642625913,1000.0,,,0.0,0.0,19.88,1.9879999999999998,
hes,r,0.0025,van,put,10000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.09795605299435405,0.09795605299435405,0.09825050649975785,0.0018010623189026174,0.30059756023527595,0.09896342877239993,0.001496157578269612,1.0283956399345178,0.7804822060780134,0.008899081761483104,10000.0,,,0.0,0.0,196.94,1.9694000000000003,
hes,r,0.0025,van,put,100000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.09795605299435405,0.09795605299435405,0.09781361067494031,0.00046233726570463706,0.1454145150396659,0.09894035473664432,0.00036357211888324493,1.0048401422901456,0.8412596756609855,0.05884812447591685,100000.0,,,0.0,0.0,1978.1,1.9781,
hes,r,0.0025,barr,call,1000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0944377236387608,0.0944377236387608,0.09430389449437927,0.005255283775041424,0.14171153139336587,0.09543916742361773,0.004796201594486918,1.0604277043860297,0.791322194460663,0.003435820642625913,1000.0,,,0.0,0.0,19.88,1.9879999999999998,
hes,r,0.0025,barr,call,10000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0944377236387608,0.0944377236387608,0.09408363094239278,0.0014157420492161756,0.3749483603845425,0.09480156787215735,0.0014928342398093214,0.3852742520439351,0.7804822060780134,0.008899081761483104,10000.0,,,0.0,0.0,196.94,1.9694000000000003,
hes,r,0.0025,barr,call,100000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0944377236387608,0.0944377236387608,0.09428565217496863,0.0004224060940419573,0.16102830302629745,0.0946959870381335,0.0004847179086201567,0.27347482491277364,0.8412596756609855,0.05884812447591685,100000.0,,,0.0,0.0,1978.1,1.9781,
hes,r,0.0025,barr,put,1000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.006605920726625275,0.006605920726625275,0.006604982990052044,0.0007580575486414921,0.014195395495000877,0.006855598874439623,0.0008754014146261996,3.7796116264007855,0.791322194460663,0.003435820642625913,1000.0,,,0.0,0.0,19.88,1.9879999999999998,
hes,r,0.0025,barr,put,10000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.006605920726625275,0.006605920726625275,0.006592857375880802,0.00025838231958096757,0.1977521572703882,0.006789648755302093,0.00022840626821124746,2.781262995426196,0.7804822060780134,0.008899081761483104,10000.0,,,0.0,0.0,196.94,1.9694000000000003,
hes,r,0.0025,barr,put,100000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.006605920726625275,0.006605920726625275,0.006617589287233145,8.114794374604368e-05,0.1766379145429336,0.006895050990048169,8.659328413444346e-05,4.376835196607032,0.8412596756609855,0.05884812447591685,100000.0,,,0.0,0.0,1978.1,1.9781,
hes,r,0.0975,van,call,1000,"(1.0, 1.0, 0.0975, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.18540192208731862,0.18540192208731862,0.1860633764016353,0.00468085454466258,0.3567677761210938,0.18472335124817435,0.006248190575035341,0.36599989444806574,0.7950834780017613,0.003199390737572685,1000.0,,,0.0,0.0,26.12,2.612,
hes,r,0.0975,van,call,10000,"(1.0, 1.0, 0.0975, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.18540192208731862,0.18540192208731862,0.18488525826472174,0.0018220622922054007,0.278672311904915,0.18493507448637575,0.001669340032775091,0.25180299949803125,0.7939461783226579,0.008480528136715293,10000.0,,,0.0,0.0,259.44,2.5944,
hes,r,0.0975,van,call,100000,"(1.0, 1.0, 0.0975, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.18540192208731862,0.18540192208731862,0.18534947059051843,0.0006243706892845238,0.02829069742625979,0.1847968564094559,0.0006849056579260519,0.3263535086641436,0.8249555842980044,0.059388559241779146,100000.0,,,0.0,0.0,2562.78,2.5627799999999996,
hes,r,0.0975,van,put,1000,"(1.0, 1.0, 0.0975, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.04934360283906547,0.04934360283906547,0.048960267230616895,0.0027096514737079795,0.7768699211097875,0.04991599195529741,0.0031644264867369326,1.160006735014449,0.7950834780017613,0.003199390737572685,1000.0,,,0.0,0.0,26.12,2.612,
hes,r,0.0975,van,put,10000,"(1.0, 1.0, 0.0975, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.04934360283906547,0.04934360283906547,0.04935039891342338,0.001127358550564115,0.01377295934404612,0.04963380928826652,0.0007831992843521878,0.5881338866713138,0.7939461783226579,0.008480528136715293,10000.0,,,0.0,0.0,259.44,2.5944,
hes,r,0.0975,van,put,100000,"(1.0, 1.0, 0.0975, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.04934360283906547,0.04934360283906547,0.049225577728172584,0.00041183893490242315,0.23919029844218248,0.049713317278790956,0.00040470472865152674,0.7492651903253027,0.8249555842980044,0.059388559241779146,100000.0,,,0.0,0.0,2562.78,2.5627799999999996,
hes,r,0.0975,barr,call,1000,"(1.0, 1.0, 0.0975, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.1728912447695687,0.1728912447695687,0.173537154547398,0.004879612738413669,0.3735931097552966,0.17266429431442984,0.006641157327685316,0.13126775473295743,0.7950834780017613,0.003199390737572685,1000.0,,,0.0,0.0,26.12,2.612,
hes,r,0.0975,barr,call,10000,"(1.0, 1.0, 0.0975, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.1728912447695687,0.1728912447695687,0.17232450151298914,0.0019154714278649349,0.32780332939064266,0.17325312759682224,0.001635244635327623,0.2093124077716282,0.7939461783226579,0.008480528136715293,10000.0,,,0.0,0.0,259.44,2.5944,
hes,r,0.0975,barr,call,100000,"(1.0, 1.0, 0.0975, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.1728912447695687,0.1728912447695687,0.17288148673054513,0.000636788545495988,0.005644033066332615,0.17307158039204532,0.0006983617283808608,0.10430581532162313,0.8249555842980044,0.059388559241779146,100000.0,,,0.0,0.0,2562.78,2.5627799999999996,
hes,r,0.0975,barr,put,1000,"(1.0, 1.0, 0.0975, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0028317795049901686,0.0028317795049901686,0.002818200679972111,0.00041828765766599,0.4795156188583506,0.003115361464721959,0.00047383228263169315,10.014266973543014,0.7950834780017613,0.003199390737572685,1000.0,,,0.0,0.0,26.12,2.612,
hes,r,0.0975,barr,put,10000,"(1.0, 1.0, 0.0975, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0028317795049901686,0.0028317795049901686,0.00283046585137727,0.00014178655168119354,0.04638968572884549,0.003000492387346333,0.00017650813735594316,5.9578396573200045,0.7939461783226579,0.008480528136715293,10000.0,,,0.0,0.0,259.44,2.5944,
