model,variable,value,barr_type,option_type,n_samples,eta,closed,fdm,reference,mc_mean,mc_std,mc_rel_error_pct,nvp_mean,nvp_std,nvp_rel_error_pct,mc_seconds_mean,nvp_seconds_mean,error
hes,r,0.0025,van,call,1000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.1016990305240199,0.1016990305240199,0.1015039721219491,0.0052879102762271,0.1917996671804816,0.1003769846505279,0.0035290427904489,1.299959170387413,0.791322194460663,0.0267035104031674,
hes,r,0.0025,van,call,10000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.1016990305240199,0.1016990305240199,0.1012645617763627,0.0014359099065276,0.4272103140202554,0.100821279158617,0.0014465187586695,0.8630872495836175,0.7804822060780134,0.0113228866376448,
hes,r,0.0025,van,call,100000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.1016990305240199,0.1016990305240199,0.1015350148117364,0.0004221193976918,0.161275590768562,0.1007579874863422,0.0003779690180993,0.9253215422299742,0.8412596756609855,0.0324872930441051,
hes,r,0.0025,van,put,1000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.097956052994354,0.097956052994354,0.0969655948105852,0.0044300125531143,1.0111250438254538,0.0990227004624692,0.0042562914348834,1.0889040906707834,0.791322194460663,0.0267035104031674,
hes,r,0.0025,van,put,10000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.097956052994354,0.097956052994354,0.0982505064997578,0.0018010623189026,0.3005975602352759,0.0980359114415184,0.0016492876765378,0.0815247702650555,0.7804822060780134,0.0113228866376448,
hes,r,0.0025,van,put,100000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.097956052994354,0.097956052994354,0.0978136106749403,0.0004623372657046,0.1454145150396659,0.0979738406538278,0.0004482793688561,0.0181588160507723,0.8412596756609855,0.0324872930441051,
hes,r,0.0025,barr,call,1000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0944377236387608,0.0944377236387608,0.0943038944943792,0.0052552837750414,0.1417115313933658,0.0939656185180912,0.0033984140771987,0.499911584564879,0.791322194460663,0.0267035104031674,
hes,r,0.0025,barr,call,10000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0944377236387608,0.0944377236387608,0.0940836309423927,0.0014157420492161,0.3749483603845425,0.0943013827107702,0.0014691737065013,0.1443712562493097,0.7804822060780134,0.0113228866376448,
hes,r,0.0025,barr,call,100000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0944377236387608,0.0944377236387608,0.0942856521749686,0.0004224060940419,0.1610283030262974,0.0942303070085473,0.0003747488097327,0.2196332378858429,0.8412596756609855,0.0324872930441051,
hes,r,0.0025,barr,put,1000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0066059207266252,0.0066059207266252,0.006604982990052,0.0007580575486414,0.0141953954950008,0.0066924931791387,0.0007153182516246,1.3105281776175397,0.791322194460663,0.0267035104031674,
hes,r,0.0025,barr,put,10000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0066059207266252,0.0066059207266252,0.0065928573758808,0.0002583823195809,0.1977521572703882,0.0065968374416501,0.0002516546178533,0.137502179499803,0.7804822060780134,0.0113228866376448,
hes,r,0.0025,barr,put,100000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0066059207266252,0.0066059207266252,0.0066175892872331,8.114794374604368e-05,0.1766379145429336,0.0066384783888767,7.517168244682761e-05,0.4928557819387209,0.8412596756609855,0.0324872930441051,
hes,r,0.0975,van,call,1000,"(1.0, 1.0, 0.0975, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.1854019220873186,0.1854019220873186,0.1860633764016353,0.0046808545446625,0.3567677761210938,0.1867305276196845,0.0066448605933257,0.7166082839961884,0.7950834780017613,0.0124234765185974,
hes,r,0.0975,van,call,10000,"(1.0, 1.0, 0.0975, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.1854019220873186,0.1854019220873186,0.1848852582647217,0.0018220622922054,0.278672311904915,0.1879932839043845,0.0016258636763454,1.3976995426430483,0.7939461783226579,0.0116618709068279,
hes,r,0.0975,van,call,100000,"(1.0, 1.0, 0.0975, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.1854019220873186,0.1854019220873186,0.1853494705905184,0.0006243706892845,0.0282906974262597,0.188168563660308,0.0005933215247928,1.4922399626938154,0.8249555842980044,0.0315673164627514,
hes,r,0.0975,van,put,1000,"(1.0, 1.0, 0.0975, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0493436028390654,0.0493436028390654,0.0489602672306168,0.0027096514737079,0.7768699211097875,0.0495279600923194,0.0036021191538092,0.3736193602548654,0.7950834780017613,0.0124234765185974,
