model,variable,value,barr_type,option_type,n_samples,eta,closed,fdm,reference,mc_mean,mc_std,mc_rel_error_pct,cvae_mean,cvae_std,cvae_rel_error_pct,mc_seconds_mean,cvae_seconds_mean,used_sample_count_mean,discarded_sample_count_mean,discarded_sample_pct_mean,regenerated_sample_count_mean,regenerated_sample_pct_mean,error
hes,r,0.0025,van,call,1000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.10169903052401999,0.10169903052401999,0.10150397212194914,0.005287910276227143,0.19179966718048166,0.10052587378208272,0.0032808624637806786,1.1535574487705522,0.791322194460663,0.0025851397414226084,983.58,16.42,1.6420000000000001,0.0,0.0,
hes,r,0.0025,van,call,10000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.10169903052401999,0.10169903052401999,0.10126456177636277,0.0014359099065276554,0.42721031402025544,0.10119377588488469,0.0014128316386633245,0.49681362401577894,0.7804822060780134,0.008406583092873916,9815.66,184.34,1.8434,0.0,0.0,
hes,r,0.0025,van,call,100000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.10169903052401999,0.10169903052401999,0.10153501481173648,0.000422119397691802,0.161275590768562,0.1010623055875589,0.0005181060069141323,0.6260875184161251,0.8412596756609855,0.05607031259918585,98165.0,1835.0,1.835,0.0,0.0,
hes,r,0.0025,van,put,1000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.09795605299435405,0.09795605299435405,0.0969655948105852,0.004430012553114352,1.0111250438254538,0.09867677445428921,0.00480472692897873,0.7357600045162166,0.791322194460663,0.0025851397414226084,983.58,16.42,1.6420000000000001,0.0,0.0,
hes,r,0.0025,van,put,10000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.09795605299435405,0.09795605299435405,0.09825050649975785,0.0018010623189026174,0.30059756023527595,0.09792489868058071,0.0015756896839466566,0.03180437841358092,0.7804822060780134,0.008406583092873916,9815.66,184.34,1.8434,0.0,0.0,
hes,r,0.0025,van,put,100000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.09795605299435405,0.09795605299435405,0.09781361067494031,0.00046233726570463706,0.1454145150396659,0.09813715682887394,0.0005635946527300164,0.1848827397428293,0.8412596756609855,0.05607031259918585,98165.0,1835.0,1.835,0.0,0.0,
hes,r,0.0025,barr,call,1000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0944377236387608,0.0944377236387608,0.09430389449437927,0.005255283775041424,0.14171153139336587,0.09326046904369745,0.003506283304811247,1.2465935747948913,0.791322194460663,0.0025851397414226084,983.58,16.42,1.6420000000000001,0.0,0.0,
hes,r,0.0025,barr,call,10000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0944377236387608,0.0944377236387608,0.09408363094239278,0.0014157420492161756,0.3749483603845425,0.09401112868334532,0.0014448404801847888,0.4517209214479422,0.7804822060780134,0.008406583092873916,9815.66,184.34,1.8434,0.0,0.0,
hes,r,0.0025,barr,call,100000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0944377236387608,0.0944377236387608,0.09428565217496863,0.0004224060940419573,0.16102830302629745,0.09383778801262321,0.000503389380960727,0.6352711639179599,0.8412596756609855,0.05607031259918585,98165.0,1835.0,1.835,0.0,0.0,
hes,r,0.0025,barr,put,1000,"(1.0, 1.0, 0.0025, 2, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.006605920726625275,0.006605920726625275,0.006604982990052044,0.0007580575486414921,0.014195395495000877,0.006620800929458454,0.0007843785385657155,0.22525554648581028,0.791322194460663,0.0025851397414226084,983.58,16.42,1.6420000000000001,0.0,0.0,
