option,MC 1k MAE vs closed-form,MC 10k MAE vs closed-form,MC 100k MAE vs closed-form,CVAE 1k MAE vs closed-form,CVAE 10k MAE vs closed-form,CVAE 100k MAE vs closed-form
van_call,0.02416614078889423,0.014383370759992497,0.010490776346601567,0.048960421158890904,0.04231879805627563,0.041120474002050864
van_put,0.013350708952304753,0.010035776512905634,0.00943062747227081,0.014155485015291314,0.012286437509190456,0.012219237016663822
barr_call,0.1564120897048814,0.04995863384187285,0.016289286901222416,0.2736671446532005,0.09890143969403922,0.07053391620925722
barr_put,0.012773528451502586,0.00395466353281636,0.0011655080290666026,0.017156226600225647,0.007718676042934658,0.005825268033248151
