option,MC 1k MAE vs MC (100k),MC 10k MAE vs MC (100k),CVAE 1k MAE vs MC (100k),CVAE 10k MAE vs MC (100k),CVAE 100k MAE vs MC (100k)
van_call,0.009918696354557497,0.003204484197625548,0.011031141209220557,0.008501639750634987,0.008725318645147771
van_put,0.007545929597418745,0.0024764285487887134,0.008982700738045007,0.006946970218347885,0.006963305348269251
barr_call,0.036279791539218634,0.012300503059585792,0.040170725583231974,0.019195485992293145,0.013043881597175004
barr_put,0.019658747973379985,0.0059307358468818705,0.02430227528631866,0.009491320354458151,0.006678885466974866
