set_idx,option,opt_type,barrier,S0,K,r,sigma,T,closed_form_delta,mc_delta,cvae_delta,mc_n_paths,mc_dt,mc_seed,cvae_n_samples,cvae_seed,delta_h,rho_h,vega_h,theta_h,mc_abs_error,cvae_abs_error
0,van_call,call,,1.0,1.0,0.03,0.22360679774997896,1.5,0.6183870787482464,0.6244905765090875,0.626752358812363,100000,0.001,1234,100000,1234,0.01,0.0003,0.00223606797749979,0.015,0.00610349776084107,0.008365280064116631
0,van_put,put,,1.0,1.0,0.03,0.22360679774997896,1.5,-0.3816129212517536,-0.3752756460976711,-0.37373709581244446,100000,0.001,1234,100000,1234,0.01,0.0003,0.00223606797749979,0.015,0.0063372751540825,0.007875825439309148
0,barr_call,call,0.8,1.0,1.0,0.03,0.22360679774997896,1.5,0.6804584480916448,0.6840051004784006,0.6794890982950358,100000,0.001,1234,100000,1234,0.01,0.0003,0.00223606797749979,0.015,0.0035466523867557775,0.0009693497966090092
0,barr_put,put,0.8,1.0,1.0,0.03,0.22360679774997896,1.5,0.013735523404065364,0.013146302176997825,0.014788937356547023,100000,0.001,1234,100000,1234,0.01,0.0003,0.00223606797749979,0.015,0.0005892212270675393,0.001053413952481659
